symbole;date;ouverture;haut;bas;cloture;volume
ORGT.tg;03/02/2025;1685;1690;1685;1690;880
ORGT.tg;04/02/2025;1600;1600;1600;1600;349
ORGT.tg;05/02/2025;1600;1600;1600;1600;1633
ORGT.tg;06/02/2025;1570;1570;1565;1565;1214
ORGT.tg;07/02/2025;1680;1680;1680;1680;26
ORGT.tg;10/02/2025;1680;1680;1675;1675;512
ORGT.tg;11/02/2025;1670;1670;1590;1590;644
ORGT.tg;12/02/2025;1595;1675;1595;1675;486
ORGT.tg;13/02/2025;1670;1675;1670;1675;528
ORGT.tg;14/02/2025;1675;1675;1675;1675;7364
ORGT.tg;17/02/2025;1675;1675;1675;1675;46
ORGT.tg;18/02/2025;1675;1675;1665;1665;1466
ORGT.tg;19/02/2025;1600;1665;1600;1665;200
ORGT.tg;20/02/2025;1660;1660;1595;1595;101
ORGT.tg;21/02/2025;1670;1670;1595;1595;549
ORGT.tg;24/02/2025;1595;1595;1595;1595;131
ORGT.tg;25/02/2025;1595;1595;1595;1595;907
ORGT.tg;26/02/2025;1500;1595;1500;1595;1281
ORGT.tg;28/02/2025;1515;1550;1515;1550;167107
ORGT.tg;03/03/2025;1550;1665;1550;1665;1021
ORGT.tg;04/03/2025;1660;1660;1660;1660;1343
ORGT.tg;05/03/2025;1625;1650;1625;1650;3271
ORGT.tg;06/03/2025;1650;1650;1645;1645;544
ORGT.tg;07/03/2025;1640;1640;1635;1635;1152
ORGT.tg;10/03/2025;1625;1625;1600;1600;549
ORGT.tg;11/03/2025;1600;1600;1600;1600;1389
ORGT.tg;12/03/2025;1600;1620;1600;1620;417
ORGT.tg;13/03/2025;1620;1620;1595;1595;196
ORGT.tg;14/03/2025;1595;1620;1595;1620;174
ORGT.tg;17/03/2025;1620;1620;1620;1620;106
ORGT.tg;18/03/2025;1620;1620;1610;1610;162
ORGT.tg;19/03/2025;1620;1620;1565;1565;1457
ORGT.tg;20/03/2025;1575;1575;1565;1565;1146
ORGT.tg;21/03/2025;1560;1565;1560;1565;23
ORGT.tg;24/03/2025;1565;1590;1565;1590;81
ORGT.tg;25/03/2025;1600;1600;1595;1595;9889
ORGT.tg;26/03/2025;1595;1595;1595;1595;1289
ORGT.tg;27/03/2025;1595;1595;1595;1595;1289
ORGT.tg;28/03/2025;1505;1595;1505;1595;429
ORGT.tg;31/03/2025;1505;1595;1505;1595;429
SIVC.ci;03/02/2025;495;495;490;490;617
SIVC.ci;04/02/2025;490;490;480;480;401
SIVC.ci;05/02/2025;490;490;485;485;144
