symbole;date;ouverture;haut;bas;cloture;volume
ORGT.tg;01/03/2024;2300;2300;2200;2200;3076
ORGT.tg;04/03/2024;2100;2295;2100;2295;190
ORGT.tg;05/03/2024;2175;2175;2175;2175;299
ORGT.tg;06/03/2024;2220;2220;2220;2220;10
ORGT.tg;07/03/2024;2220;2220;2150;2150;5930
ORGT.tg;08/03/2024;2210;2220;2210;2220;6040
ORGT.tg;11/03/2024;2225;2225;2225;2225;1808
ORGT.tg;12/03/2024;2220;2220;2220;2220;329
ORGT.tg;13/03/2024;2220;2220;2220;2220;568
ORGT.tg;14/03/2024;2150;2150;2150;2150;26
ORGT.tg;15/03/2024;2295;2295;2295;2295;10
ORGT.tg;18/03/2024;2295;2295;2295;2295;10
ORGT.tg;20/03/2024;2200;2200;2200;2200;252
ORGT.tg;21/03/2024;2200;2200;2200;2200;2
ORGT.tg;22/03/2024;2100;2300;2100;2300;252
ORGT.tg;25/03/2024;2300;2300;2300;2300;40
ORGT.tg;26/03/2024;2295;2295;2250;2250;1128
ORGT.tg;27/03/2024;2195;2195;2190;2190;70
ORGT.tg;28/03/2024;2190;2190;2190;2190;87
ORGT.tg;29/03/2024;2185;2250;2185;2250;580
ORGT.tg;01/04/2024;2185;2250;2185;2250;580
ORGT.tg;02/04/2024;2250;2250;2250;2250;18
ORGT.tg;03/04/2024;2245;2245;2245;2245;988
ORGT.tg;04/04/2024;2250;2250;2250;2250;163
ORGT.tg;05/04/2024;2220;2220;2220;2220;120
ORGT.tg;08/04/2024;2200;2200;2195;2195;80
ORGT.tg;09/04/2024;2195;2195;2190;2190;155
ORGT.tg;10/04/2024;2195;2195;2190;2190;155
ORGT.tg;11/04/2024;2120;2190;2120;2190;580
ORGT.tg;12/04/2024;2190;2195;2190;2195;133
ORGT.tg;15/04/2024;2195;2195;2195;2195;3
ORGT.tg;16/04/2024;2110;2195;2110;2195;166
ORGT.tg;17/04/2024;2195;2195;2195;2195;272
ORGT.tg;18/04/2024;2195;2195;2195;2195;272
ORGT.tg;22/04/2024;2190;2190;2190;2190;40
ORGT.tg;23/04/2024;2190;2190;2190;2190;40
ORGT.tg;25/04/2024;2150;2150;2150;2150;384
ORGT.tg;26/04/2024;2000;2190;2000;2190;504
ORGT.tg;29/04/2024;2050;2050;2050;2050;29
ORGT.tg;30/04/2024;1900;2150;1900;2150;1202
SIVC.ci;01/03/2024;760;815;760;815;901
SIVC.ci;05/03/2024;800;800;800;800;10
SIVC.ci;06/03/2024;800;800;800;800;35
SIVC.ci;07/03/2024;800;800;800;800;33
SIVC.ci;08/03/2024;795;800;795;800;67
SIVC.ci;11/03/2024;755;800;755;800;152
SIVC.ci;12/03/2024;790;800;790;800;478
SIVC.ci;13/03/2024;800;800;800;800;69
