symbole;date;ouverture;haut;bas;cloture;volume
SNTS.sn;01/03/2024;17890;17900;17890;17900;21244
SNTS.sn;04/03/2024;17900;17900;17900;17900;5348
SNTS.sn;05/03/2024;17900;17900;17890;17890;856
SNTS.sn;06/03/2024;17880;17895;17880;17895;2212
SNTS.sn;07/03/2024;17895;17900;17895;17900;5940
SNTS.sn;08/03/2024;17900;17900;17900;17900;1077
SNTS.sn;11/03/2024;17900;17900;17900;17900;1594
SNTS.sn;12/03/2024;17895;17895;17850;17850;24821
SNTS.sn;13/03/2024;17850;17895;17850;17895;9920
SNTS.sn;14/03/2024;17780;17895;17780;17895;668
SNTS.sn;15/03/2024;17895;17895;17810;17810;9023
SNTS.sn;18/03/2024;17810;17890;17810;17890;2557
SNTS.sn;19/03/2024;17890;17890;17885;17885;2248
SNTS.sn;20/03/2024;17850;17885;17850;17885;1834
SNTS.sn;21/03/2024;17885;17895;17885;17895;2735
SNTS.sn;22/03/2024;17895;17900;17895;17900;2359
SNTS.sn;25/03/2024;17900;17900;17900;17900;4031
SNTS.sn;26/03/2024;17900;17900;17900;17900;97815
SNTS.sn;27/03/2024;17900;17900;17900;17900;15004
SNTS.sn;28/03/2024;17900;17900;17900;17900;4177
SNTS.sn;29/03/2024;17900;17900;17900;17900;2539
SNTS.sn;01/04/2024;17900;17900;17900;17900;2539
SNTS.sn;02/04/2024;17850;17900;17850;17900;38863
SNTS.sn;03/04/2024;17900;17900;17900;17900;2322
SNTS.sn;04/04/2024;17895;17895;17890;17890;15536
SNTS.sn;05/04/2024;17895;17895;17890;17890;10399
SNTS.sn;08/04/2024;17895;18000;17895;18000;6703
SNTS.sn;09/04/2024;19350;19350;19000;19000;629
SNTS.sn;10/04/2024;19350;19350;19000;19000;629
SNTS.sn;11/04/2024;19000;19000;19000;19000;2661
SNTS.sn;12/04/2024;19000;19000;19000;19000;1447
SNTS.sn;15/04/2024;19000;19000;19000;19000;1269
SNTS.sn;16/04/2024;19000;19000;19000;19000;394
SNTS.sn;17/04/2024;19000;19000;19000;19000;1565
SNTS.sn;18/04/2024;19000;19000;19000;19000;6158
SNTS.sn;19/04/2024;19000;19000;19000;19000;1567
SNTS.sn;22/04/2024;18995;19000;18995;19000;12822
SNTS.sn;23/04/2024;19000;19000;19000;19000;18337
SNTS.sn;24/04/2024;18995;18995;18550;18550;4365
SNTS.sn;25/04/2024;18995;19000;18995;19000;582
SNTS.sn;26/04/2024;19000;19000;19000;19000;22788
SNTS.sn;29/04/2024;19000;19000;19000;19000;14603
SNTS.sn;30/04/2024;19000;19200;19000;19200;11932
ORAC.ci;01/03/2024;11000;11000;10995;10995;1658
ORAC.ci;04/03/2024;10950;10985;10950;10985;1026
ORAC.ci;05/03/2024;10975;10975;10950;10950;713
ORAC.ci;06/03/2024;10855;10855;10705;10705;3796
ORAC.ci;07/03/2024;10900;10900;10890;10890;705
ORAC.ci;08/03/2024;10885;10890;10885;10890;631
ORAC.ci;11/03/2024;10890;10890;10750;10750;7097
ORAC.ci;12/03/2024;10890;10890;10850;10850;463
ORAC.ci;13/03/2024;10750;10800;10750;10800;483
ORAC.ci;14/03/2024;10750;10750;10750;10750;231
ORAC.ci;15/03/2024;10760;10760;10750;10750;452
ORAC.ci;18/03/2024;10750;10890;10750;10890;11280
ORAC.ci;19/03/2024;10800;10800;10750;10750;123
ORAC.ci;20/03/2024;10800;10800;10750;10750;1563
ORAC.ci;21/03/2024;10750;10790;10750;10790;488
ORAC.ci;22/03/2024;10750;10800;10750;10800;751
ORAC.ci;25/03/2024;10880;10880;10850;10850;2380
ORAC.ci;26/03/2024;10750;10850;10750;10850;615
ORAC.ci;27/03/2024;10850;10850;10795;10795;2387
ORAC.ci;28/03/2024;10845;10845;10845;10845;545
ORAC.ci;29/03/2024;10790;10845;10790;10845;59
ORAC.ci;01/04/2024;10790;10845;10790;10845;59
ORAC.ci;02/04/2024;10845;10845;10845;10845;1006
ORAC.ci;03/04/2024;10900;10900;10900;10900;820
ORAC.ci;04/04/2024;10795;10900;10795;10900;781
ORAC.ci;05/04/2024;10895;10895;10800;10800;541
ORAC.ci;08/04/2024;10800;10845;10800;10845;699
ORAC.ci;09/04/2024;10845;10845;10845;10845;4564
ORAC.ci;10/04/2024;10845;10845;10845;10845;4564
ORAC.ci;11/04/2024;10800;10845;10800;10845;6936
ORAC.ci;12/04/2024;10800;10845;10800;10845;979
ORAC.ci;15/04/2024;10850;11000;10850;11000;40
ORAC.ci;16/04/2024;11000;11000;10850;10850;1485
ORAC.ci;17/04/2024;10850;11000;10850;11000;52
ORAC.ci;18/04/2024;11000;11000;10845;10845;1465
ORAC.ci;19/04/2024;11000;11000;10850;10850;3
ORAC.ci;22/04/2024;10850;10855;10850;10855;115
ORAC.ci;23/04/2024;10995;10995;10855;10855;100
ORAC.ci;24/04/2024;10855;10855;10855;10855;10721
ORAC.ci;25/04/2024;10790;10845;10790;10845;373
ORAC.ci;26/04/2024;10845;10990;10845;10990;2721
