symbole;date;ouverture;haut;bas;cloture;volume
SNTS.sn;01/12/2025;25600;26000;25600;26000;3923
SNTS.sn;02/12/2025;26000;26000;25950;25950;2138
SNTS.sn;03/12/2025;25515;25950;25515;25950;3189
SNTS.sn;04/12/2025;25950;25950;25700;25700;45643
SNTS.sn;05/12/2025;25800;25800;25800;25800;20922
SNTS.sn;08/12/2025;25515;25515;25500;25500;6256
SNTS.sn;09/12/2025;25505;25505;25500;25500;3002
SNTS.sn;10/12/2025;25500;25500;25500;25500;2812
ORAC.ci;01/12/2025;15095;15655;15095;15655;1524
ORAC.ci;02/12/2025;14950;15000;14950;15000;181
ORAC.ci;03/12/2025;15000;15160;15000;15160;1167
ORAC.ci;04/12/2025;15000;15200;15000;15200;699
ORAC.ci;05/12/2025;15200;15200;15200;15200;388
ORAC.ci;08/12/2025;15495;15495;15300;15300;640
ORAC.ci;09/12/2025;15300;15350;15300;15350;317
ORAC.ci;10/12/2025;15350;15350;15350;15350;374
ECOC.ci;01/12/2025;15600;16770;15600;16770;319
ECOC.ci;02/12/2025;16700;16700;15720;15720;688
ECOC.ci;03/12/2025;16500;16505;16500;16505;307
ECOC.ci;04/12/2025;16600;16600;16600;16600;1694
ECOC.ci;05/12/2025;16600;16600;16000;16000;1058
ECOC.ci;08/12/2025;15800;16500;15800;16500;367
ECOC.ci;09/12/2025;16500;16500;15800;15800;562
ECOC.ci;10/12/2025;16595;16595;15500;15500;2062
BOABF.bf;01/12/2025;3840;3990;3840;3990;6212
BOABF.bf;02/12/2025;4100;4100;3990;3990;2050
BOABF.bf;03/12/2025;3990;3990;3990;3990;1354
BOABF.bf;04/12/2025;3990;3990;3985;3985;648
BOABF.bf;05/12/2025;3990;3990;3990;3990;1707
BOABF.bf;08/12/2025;3990;3995;3990;3995;739
BOABF.bf;09/12/2025;4000;4000;4000;4000;4263
BOABF.bf;10/12/2025;3995;4000;3995;4000;3722
CIEC.ci;01/12/2025;2500;2500;2500;2500;1555
CIEC.ci;02/12/2025;2500;2500;2500;2500;2689
CIEC.ci;03/12/2025;2460;2500;2460;2500;1898
CIEC.ci;04/12/2025;2500;2500;2500;2500;5173
CIEC.ci;05/12/2025;2500;2500;2500;2500;1481
CIEC.ci;08/12/2025;2500;2500;2500;2500;3073
CIEC.ci;09/12/2025;2500;2500;2500;2500;1353
CIEC.ci;10/12/2025;2500;2500;2500;2500;11244
SOGC.ci;01/12/2025;7970;7970;7950;7950;1426
SOGC.ci;02/12/2025;7940;7940;7940;7940;764
SOGC.ci;03/12/2025;7940;7940;7935;7935;1162
SOGC.ci;04/12/2025;7905;7905;7860;7860;2957
SOGC.ci;05/12/2025;7900;7900;7730;7730;2750
SOGC.ci;08/12/2025;7850;7850;7850;7850;1193
SOGC.ci;09/12/2025;7800;7800;7800;7800;5137
SOGC.ci;10/12/2025;7800;7845;7800;7845;1971
SGBC.ci;01/12/2025;26515;27600;26515;27600;2638
SGBC.ci;02/12/2025;27600;28000;27600;28000;690
SGBC.ci;03/12/2025;28000;28500;28000;28500;1257
SGBC.ci;04/12/2025;28500;30000;28500;30000;1615
SGBC.ci;05/12/2025;30000;30050;30000;30050;1005
SGBC.ci;08/12/2025;30000;30000;29490;29490;1212
SGBC.ci;09/12/2025;29490;29490;29300;29300;470
SGBC.ci;10/12/2025;29490;29490;29250;29250;752
BOAC.ci;01/12/2025;7250;7250;7245;7245;2028
BOAC.ci;02/12/2025;7295;7295;7245;7245;5054
BOAC.ci;03/12/2025;7200;7200;7200;7200;2635
BOAC.ci;04/12/2025;7200;7200;7195;7195;752
BOAC.ci;05/12/2025;7200;7200;7200;7200;1093
BOAC.ci;08/12/2025;7000;7140;7000;7140;2989
BOAC.ci;09/12/2025;7140;7140;7100;7100;1547
BOAC.ci;10/12/2025;7100;7100;7100;7100;2892
BOAB.bj;01/12/2025;5295;5335;5295;5335;2419
BOAB.bj;02/12/2025;5335;5340;5335;5340;6120
BOAB.bj;03/12/2025;5350;5495;5350;5495;579
BOAB.bj;04/12/2025;5500;5500;5400;5400;6569
BOAB.bj;05/12/2025;5500;5805;5500;5805;2747
BOAB.bj;08/12/2025;5805;5995;5805;5995;6271
BOAB.bj;09/12/2025;5995;5995;5970;5970;2299
BOAB.bj;10/12/2025;5970;5970;5810;5810;4004
SPHC.ci;01/12/2025;8145;8145;8000;8000;4177
