symbole;date;ouverture;haut;bas;cloture;volume
ORGT.tg;01/12/2025;2510;2600;2510;2600;1041
ORGT.tg;02/12/2025;2550;2565;2550;2565;400
ORGT.tg;03/12/2025;2565;2565;2500;2500;1522
ORGT.tg;04/12/2025;2500;2590;2500;2590;342
ORGT.tg;05/12/2025;2590;2590;2500;2500;864
ORGT.tg;08/12/2025;2500;2555;2500;2555;1045
ORGT.tg;09/12/2025;2555;2580;2555;2580;1904
ORGT.tg;10/12/2025;2580;2580;2500;2500;4324
SIVC.CI;01/12/2025;665;665;665;665;10877
SIVC.CI;02/12/2025;665;700;665;700;16510
SIVC.CI;03/12/2025;700;705;700;705;3029
SIVC.CI;04/12/2025;700;705;700;705;10144
SIVC.CI;05/12/2025;705;755;705;755;50981
SIVC.CI;08/12/2025;810;810;810;810;2459
SIVC.CI;09/12/2025;870;870;870;870;1191
SIVC.CI;10/12/2025;935;935;935;935;3233
CFAC.ci;01/12/2025;1700;1700;1700;1700;8806
CFAC.ci;02/12/2025;1725;1780;1725;1780;5725
CFAC.ci;03/12/2025;1785;1785;1755;1755;2098
CFAC.ci;04/12/2025;1755;1755;1735;1735;1463
CFAC.ci;05/12/2025;1750;1750;1735;1735;713
CFAC.ci;08/12/2025;1735;1735;1700;1700;736
CFAC.ci;09/12/2025;1700;1700;1575;1575;7937
CFAC.ci;10/12/2025;1670;1670;1505;1505;8617
CIEC.ci;01/12/2025;2500;2500;2500;2500;1555
CIEC.ci;02/12/2025;2500;2500;2500;2500;2689
CIEC.ci;03/12/2025;2460;2500;2460;2500;1898
CIEC.ci;04/12/2025;2500;2500;2500;2500;5173
CIEC.ci;05/12/2025;2500;2500;2500;2500;1481
CIEC.ci;08/12/2025;2500;2500;2500;2500;3073
CIEC.ci;09/12/2025;2500;2500;2500;2500;1353
CIEC.ci;10/12/2025;2500;2500;2500;2500;11244
TTLC.ci;01/12/2025;2350;2395;2350;2395;1602
TTLC.ci;02/12/2025;2395;2395;2390;2390;567
TTLC.ci;03/12/2025;2395;2395;2370;2370;2079
TTLC.ci;04/12/2025;2370;2370;2365;2365;1056
TTLC.ci;05/12/2025;2365;2370;2365;2370;2916
TTLC.ci;08/12/2025;2390;2390;2385;2385;1721
TTLC.ci;09/12/2025;2375;2385;2375;2385;2709
TTLC.ci;10/12/2025;2385;2385;2385;2385;3226
UNXC.ci;01/12/2025;1390;1450;1390;1450;1476
UNXC.ci;02/12/2025;1450;1450;1450;1450;1507
UNXC.ci;03/12/2025;1450;1450;1445;1445;1927
UNXC.ci;04/12/2025;1435;1435;1400;1400;11150
UNXC.ci;05/12/2025;1390;1400;1390;1400;11932
UNXC.ci;08/12/2025;1400;1400;1400;1400;6355
UNXC.ci;09/12/2025;1400;1450;1400;1450;13627
UNXC.ci;10/12/2025;1440;1440;1440;1440;1304
SHEC.ci;01/12/2025;1510;1550;1510;1550;3662
SHEC.ci;02/12/2025;1510;1520;1510;1520;2295
SHEC.ci;03/12/2025;1520;1540;1520;1540;3422
SHEC.ci;04/12/2025;1595;1595;1565;1565;4570
SHEC.ci;05/12/2025;1565;1565;1540;1540;2075
SHEC.ci;08/12/2025;1565;1565;1550;1550;4809
SHEC.ci;09/12/2025;1550;1555;1550;1555;9271
SHEC.ci;10/12/2025;1560;1565;1560;1565;806
ONTBF.bf;01/12/2025;2480;2525;2480;2525;595
ONTBF.bf;02/12/2025;2520;2520;2520;2520;300
ONTBF.bf;03/12/2025;2520;2520;2510;2510;4238
ONTBF.bf;04/12/2025;2510;2510;2500;2500;8409
ONTBF.bf;05/12/2025;2485;2500;2485;2500;5337
ONTBF.bf;08/12/2025;2500;2500;2500;2500;2463
ONTBF.bf;09/12/2025;2500;2500;2480;2480;1226
ONTBF.bf;10/12/2025;2500;2525;2500;2525;1646
ECOC.ci;01/12/2025;15600;16770;15600;16770;319
ECOC.ci;02/12/2025;16700;16700;15720;15720;688
ECOC.ci;03/12/2025;16500;16505;16500;16505;307
ECOC.ci;04/12/2025;16600;16600;16600;16600;1694
ECOC.ci;05/12/2025;16600;16600;16000;16000;1058
ECOC.ci;08/12/2025;15800;16500;15800;16500;367
ECOC.ci;09/12/2025;16500;16500;15800;15800;562
ECOC.ci;10/12/2025;16595;16595;15500;15500;2062
NSBC.ci;01/12/2025;11905;11990;11905;11990;406
NSBC.ci;02/12/2025;11955;11955;11900;11900;640
NSBC.ci;03/12/2025;11505;11990;11505;11990;1012
NSBC.ci;04/12/2025;11985;11985;11985;11985;989
NSBC.ci;05/12/2025;11985;11985;11985;11985;1094
NSBC.ci;08/12/2025;11990;11990;11900;11900;257
NSBC.ci;09/12/2025;11880;11980;11880;11980;702
NSBC.ci;10/12/2025;11900;11900;11900;11900;440
