symbole;date;ouverture;haut;bas;cloture;volume
SNTS.sn;01/05/2024;19000;19200;19000;19200;11932
SNTS.sn;02/05/2024;19005;19200;19005;19200;1077
SNTS.sn;03/05/2024;19200;19300;19200;19300;1342
SNTS.sn;06/05/2024;19300;19300;19300;19300;1807
SNTS.sn;07/05/2024;19300;19300;19300;19300;3835
SNTS.sn;08/05/2024;19305;19500;19305;19500;3093
SNTS.sn;09/05/2024;19305;19500;19305;19500;3093
SNTS.sn;10/05/2024;19500;19500;19500;19500;3257
SNTS.sn;13/05/2024;19500;19500;19500;19500;11921
SNTS.sn;14/05/2024;19490;19500;19490;19500;12825
SNTS.sn;15/05/2024;19250;19250;18995;18995;26890
SNTS.sn;16/05/2024;18005;18485;18005;18485;4193
SNTS.sn;17/05/2024;18390;18390;18380;18380;3285
SNTS.sn;20/05/2024;18390;18390;18380;18380;3285
SNTS.sn;21/05/2024;18050;18350;18050;18350;3764
SNTS.sn;22/05/2024;18350;18500;18350;18500;31374
SNTS.sn;23/05/2024;18500;18700;18500;18700;10584
SNTS.sn;24/05/2024;18700;19000;18700;19000;70155
SNTS.sn;27/05/2024;19000;19000;19000;19000;7210
SNTS.sn;28/05/2024;19000;19200;19000;19200;4526
SNTS.sn;29/05/2024;19200;19200;19195;19195;1949
SNTS.sn;30/05/2024;19000;19000;19000;19000;5132
SNTS.sn;31/05/2024;19000;19200;19000;19200;46386
SNTS.sn;03/06/2024;19200;19200;19200;19200;2520
SNTS.sn;04/06/2024;19200;19300;19200;19300;3748
SNTS.sn;05/06/2024;19200;19300;19200;19300;1325
SNTS.sn;06/06/2024;19200;19200;19100;19100;1361
SNTS.sn;07/06/2024;19100;19200;19100;19200;3139
SNTS.sn;10/06/2024;19195;19195;19000;19000;1097
SNTS.sn;11/06/2024;19010;19100;19010;19100;2191
SNTS.sn;12/06/2024;19100;19200;19100;19200;61491
SNTS.sn;13/06/2024;19100;19250;19100;19250;4624
SNTS.sn;14/06/2024;19250;19330;19250;19330;1694
SNTS.sn;18/06/2024;19320;19320;19300;19300;887
SNTS.sn;19/06/2024;19200;19400;19200;19400;7294
SNTS.sn;20/06/2024;19400;19445;19400;19445;2729
SNTS.sn;21/06/2024;19500;19500;19500;19500;53023
SNTS.sn;24/06/2024;19490;19490;19430;19430;1216
SNTS.sn;25/06/2024;19430;19430;19420;19420;4183
SNTS.sn;26/06/2024;19400;19400;19305;19305;1953
SNTS.sn;27/06/2024;19300;19300;19250;19250;4161
SNTS.sn;28/06/2024;19250;19380;19250;19380;36293
ORAC.ci;01/05/2024;10990;10990;10955;10955;1531
ORAC.ci;02/05/2024;10990;11000;10990;11000;1482
ORAC.ci;03/05/2024;11000;11075;11000;11075;2150
ORAC.ci;06/05/2024;10950;11050;10950;11050;514
ORAC.ci;07/05/2024;11050;11050;11000;11000;2440
ORAC.ci;08/05/2024;11000;11000;11000;11000;8424
ORAC.ci;09/05/2024;11000;11000;11000;11000;8424
ORAC.ci;10/05/2024;10850;11000;10850;11000;631
ORAC.ci;13/05/2024;10950;11075;10950;11075;428
ORAC.ci;14/05/2024;11075;11500;11075;11500;353
ORAC.ci;15/05/2024;11500;11500;11150;11150;6873
ORAC.ci;16/05/2024;11400;11400;11400;11400;1208
ORAC.ci;17/05/2024;11175;11400;11175;11400;945
ORAC.ci;20/05/2024;11175;11400;11175;11400;945
ORAC.ci;21/05/2024;11395;11450;11395;11450;2083
ORAC.ci;22/05/2024;11450;11450;11450;11450;451
ORAC.ci;23/05/2024;11450;11500;11450;11500;945
ORAC.ci;24/05/2024;11995;11995;11500;11500;490
ORAC.ci;27/05/2024;11500;11505;11500;11505;237
ORAC.ci;28/05/2024;11700;11795;11700;11795;665
ORAC.ci;29/05/2024;11800;11895;11800;11895;1385
ORAC.ci;30/05/2024;11795;11795;11200;11200;2202
ORAC.ci;31/05/2024;11500;11500;11495;11495;42
ORAC.ci;03/06/2024;11485;11485;11485;11485;953
ORAC.ci;04/06/2024;11450;11450;11450;11450;37
ORAC.ci;05/06/2024;11445;11445;11000;11000;6104
ORAC.ci;06/06/2024;11000;11445;11000;11445;1176
ORAC.ci;07/06/2024;11400;11400;11400;11400;446
ORAC.ci;10/06/2024;11255;11255;11175;11175;5147
ORAC.ci;11/06/2024;11450;11450;11175;11175;1601
ORAC.ci;12/06/2024;11190;11200;11190;11200;1420
ORAC.ci;13/06/2024;11175;11500;11175;11500;1304
ORAC.ci;14/06/2024;11550;11745;11550;11745;309
ORAC.ci;18/06/2024;11745;11745;11505;11505;1041
ORAC.ci;19/06/2024;11505;11600;11505;11600;419
ORAC.ci;20/06/2024;11790;11790;11790;11790;78
ORAC.ci;21/06/2024;11790;11790;11755;11755;434
ORAC.ci;24/06/2024;11600;11755;11600;11755;692
ORAC.ci;25/06/2024;11760;12000;11760;12000;1106
ORAC.ci;26/06/2024;12000;12000;12000;12000;227
ORAC.ci;27/06/2024;11800;11950;11800;11950;471
ORAC.ci;28/06/2024;11950;11950;11800;11800;458
ECOC.ci;01/05/2024;6895;6895;6895;6895;13303
ECOC.ci;02/05/2024;6900;6900;6800;6800;4204
ECOC.ci;03/05/2024;6800;6800;6800;6800;2859
ECOC.ci;06/05/2024;6800;6800;6700;6700;254
ECOC.ci;07/05/2024;6745;6745;6700;6700;1492
ECOC.ci;08/05/2024;6700;6770;6700;6770;851
ECOC.ci;09/05/2024;6700;6770;6700;6770;851
ECOC.ci;10/05/2024;6770;6770;6770;6770;1187
ECOC.ci;13/05/2024;6770;6800;6770;6800;593
ECOC.ci;14/05/2024;6810;6810;6810;6810;556
ECOC.ci;15/05/2024;6810;6900;6810;6900;2255
ECOC.ci;16/05/2024;6850;6850;6820;6820;473
ECOC.ci;17/05/2024;6850;7330;6850;7330;1693
ECOC.ci;20/05/2024;6850;7330;6850;7330;1693
ECOC.ci;21/05/2024;7310;7310;7300;7300;285
ECOC.ci;22/05/2024;7200;7450;7200;7450;2071
ECOC.ci;23/05/2024;7305;7305;7300;7300;806
ECOC.ci;24/05/2024;7495;7600;7495;7600;673
ECOC.ci;27/05/2024;7500;7500;7500;7500;827
ECOC.ci;28/05/2024;7400;7400;7390;7390;2183
ECOC.ci;29/05/2024;7300;7300;7300;7300;3968
ECOC.ci;30/05/2024;7305;7305;7300;7300;3636
ECOC.ci;31/05/2024;7250;7380;7250;7380;771
ECOC.ci;03/06/2024;7300;7300;7300;7300;1047
ECOC.ci;04/06/2024;7200;7300;7200;7300;1120
ECOC.ci;05/06/2024;7195;7250;7195;7250;408
ECOC.ci;06/06/2024;7250;7250;7200;7200;2308
ECOC.ci;07/06/2024;7200;7200;7190;7190;1266
ECOC.ci;10/06/2024;7200;7200;7185;7185;647
ECOC.ci;11/06/2024;7185;7185;7180;7180;593
ECOC.ci;12/06/2024;7155;7155;7100;7100;1119
ECOC.ci;13/06/2024;6800;7000;6800;7000;3466
ECOC.ci;14/06/2024;7000;7000;7000;7000;191
ECOC.ci;18/06/2024;6815;6950;6815;6950;1796
ECOC.ci;19/06/2024;6950;6950;6950;6950;1551
ECOC.ci;20/06/2024;6945;6990;6945;6990;2305
ECOC.ci;21/06/2024;6980;6980;6950;6950;915
ECOC.ci;24/06/2024;6990;6990;6950;6950;519
ECOC.ci;25/06/2024;6950;6950;6950;6950;684
ECOC.ci;26/06/2024;6940;6950;6940;6950;821
ECOC.ci;27/06/2024;6950;6950;6945;6945;1709
ECOC.ci;28/06/2024;6940;6990;6940;6990;366
BOABF.bf;01/05/2024;3645;3650;3645;3650;3690
BOABF.bf;02/05/2024;3055;3250;3055;3250;1300
BOABF.bf;03/05/2024;3250;3325;3250;3325;690
BOABF.bf;06/05/2024;3297,5;3297,5;3297,5;3297,5;1514
BOABF.bf;07/05/2024;3297,5;3297,5;3295;3295;1014
BOABF.bf;08/05/2024;3295;3295;3275;3275;1164
BOABF.bf;09/05/2024;3295;3295;3275;3275;1164
BOABF.bf;10/05/2024;3200;3250;3200;3250;2398
BOABF.bf;13/05/2024;3202,5;3237,5;3202,5;3237,5;3834
BOABF.bf;14/05/2024;3205;3205;3200;3200;2178
BOABF.bf;15/05/2024;3200;3200;3115;3115;1470
BOABF.bf;16/05/2024;3175;3175;3172,5;3172,5;1062
BOABF.bf;17/05/2024;3172,5;3187,5;3172,5;3187,5;1586
BOABF.bf;20/05/2024;3172,5;3187,5;3172,5;3187,5;1586
BOABF.bf;21/05/2024;3187,5;3222,5;3187,5;3222,5;362
BOABF.bf;22/05/2024;3187,5;3222,5;3187,5;3222,5;586
BOABF.bf;23/05/2024;3222,5;3222,5;3177,5;3177,5;5306
BOABF.bf;24/05/2024;3177,5;3180;3177,5;3180;754
BOABF.bf;27/05/2024;3180;3250;3180;3250;4716
BOABF.bf;28/05/2024;3275;3275;3250;3250;1632
BOABF.bf;29/05/2024;3250;3250;3247,5;3247,5;448
BOABF.bf;30/05/2024;3250;3252,5;3250;3252,5;4390
BOABF.bf;31/05/2024;3255;3255;3255;3255;6976
BOABF.bf;03/06/2024;3277,5;3277,5;3277,5;3277,5;3024
BOABF.bf;04/06/2024;3280;3280;3277,5;3277,5;2246
BOABF.bf;05/06/2024;3277,5;3277,5;3277,5;3277,5;2114
BOABF.bf;06/06/2024;3265;3277,5;3265;3277,5;964
BOABF.bf;07/06/2024;3277,5;3277,5;3277,5;3277,5;12088
BOABF.bf;10/06/2024;3280;3280;3277,5;3277,5;3184
