symbole;date;ouverture;haut;bas;cloture;volume
ORGT.tg;01/05/2024;1900;2150;1900;2150;1202
ORGT.tg;02/05/2024;1900;2150;1900;2150;1202
ORGT.tg;03/05/2024;1990;1995;1990;1995;2631
ORGT.tg;06/05/2024;1900;2060;1900;2060;235
ORGT.tg;07/05/2024;2055;2055;2050;2050;31
ORGT.tg;08/05/2024;1900;2050;1900;2050;538
ORGT.tg;09/05/2024;1900;2050;1900;2050;538
ORGT.tg;10/05/2024;2020;2020;1900;1900;64
ORGT.tg;13/05/2024;1800;1800;1800;1800;1050
ORGT.tg;14/05/2024;1695;1695;1695;1695;1712
ORGT.tg;15/05/2024;1695;1695;1690;1690;531
ORGT.tg;16/05/2024;1585;1585;1565;1565;2298
ORGT.tg;17/05/2024;1595;1595;1595;1595;669
ORGT.tg;20/05/2024;1595;1595;1595;1595;669
ORGT.tg;21/05/2024;1600;1600;1600;1600;726
ORGT.tg;22/05/2024;1570;1600;1570;1600;113
ORGT.tg;23/05/2024;1600;1600;1600;1600;466
ORGT.tg;24/05/2024;1600;1700;1600;1700;4836
ORGT.tg;27/05/2024;1600;1600;1600;1600;461
ORGT.tg;28/05/2024;1575;1700;1575;1700;40
ORGT.tg;29/05/2024;1700;1700;1700;1700;4012
ORGT.tg;30/05/2024;1700;1700;1690;1690;7056
ORGT.tg;31/05/2024;1690;1800;1690;1800;5580
ORGT.tg;03/06/2024;1775;1775;1775;1775;519
ORGT.tg;05/06/2024;1645;1890;1645;1890;1820
ORGT.tg;06/06/2024;1750;2000;1750;2000;1368
ORGT.tg;07/06/2024;1995;1995;1990;1990;231
ORGT.tg;10/06/2024;1845;1845;1845;1845;42
ORGT.tg;11/06/2024;1980;1980;1710;1710;363
ORGT.tg;12/06/2024;1710;1710;1585;1585;936
ORGT.tg;13/06/2024;1590;1700;1590;1700;1422
ORGT.tg;14/06/2024;1700;1750;1700;1750;285
ORGT.tg;18/06/2024;1700;1845;1700;1845;875
ORGT.tg;19/06/2024;1850;1850;1710;1710;57
ORGT.tg;20/06/2024;1820;1820;1820;1820;150
ORGT.tg;21/06/2024;1820;1840;1820;1840;350
ORGT.tg;24/06/2024;1820;1890;1820;1890;442
ORGT.tg;25/06/2024;1850;1850;1850;1850;260
ORGT.tg;26/06/2024;1850;1850;1850;1850;260
ORGT.tg;27/06/2024;1845;1845;1840;1840;32
ORGT.tg;28/06/2024;1835;1960;1835;1960;2646
SIVC.ci;01/05/2024;740;740;740;740;7
SIVC.ci;02/05/2024;740;740;740;740;109
SIVC.ci;03/05/2024;740;740;685;685;21
SIVC.ci;06/05/2024;685;685;685;685;75
SIVC.ci;07/05/2024;675;675;675;675;50
