symbole;date;ouverture;haut;bas;cloture;volume
ORGT.tg;02/06/2025;1695;1695;1685;1685;180
ORGT.tg;03/06/2025;1680;1680;1650;1650;5361
ORGT.tg;04/06/2025;1650;1680;1650;1680;4113
ORGT.tg;05/06/2025;1600;1650;1600;1650;331
ORGT.tg;10/06/2025;1650;1650;1650;1650;89
ORGT.tg;11/06/2025;1670;1670;1660;1660;295
ORGT.tg;12/06/2025;1670;1670;1665;1665;4690
ORGT.tg;13/06/2025;1660;1775;1660;1775;1556
ORGT.tg;16/06/2025;1775;1775;1650;1650;991
ORGT.tg;17/06/2025;1670;1670;1650;1650;545
ORGT.tg;18/06/2025;1650;1650;1650;1650;125
ORGT.tg;19/06/2025;1650;1650;1650;1650;231
ORGT.tg;20/06/2025;1650;1650;1610;1610;298
ORGT.tg;23/06/2025;1610;1625;1610;1625;563
ORGT.tg;24/06/2025;1620;1620;1620;1620;145
ORGT.tg;25/06/2025;1650;1650;1645;1645;11
ORGT.tg;26/06/2025;1625;1625;1605;1605;906
ORGT.tg;27/06/2025;1645;1645;1635;1635;195
ORGT.tg;30/06/2025;1635;1645;1635;1645;470
ORGT.tg;01/07/2025;1645;1645;1605;1605;190
ORGT.tg;02/07/2025;1645;1645;1640;1640;250
ORGT.tg;03/07/2025;1650;1650;1640;1640;2387
ORGT.tg;04/07/2025;1640;1640;1640;1640;148
ORGT.tg;07/07/2025;1605;1635;1605;1635;377
ORGT.tg;08/07/2025;1640;1640;1600;1600;4272
ORGT.tg;09/07/2025;1600;1640;1600;1640;192
ORGT.tg;10/07/2025;1640;1640;1640;1640;182
ORGT.tg;11/07/2025;1640;1640;1640;1640;212
ORGT.tg;14/07/2025;1640;1640;1640;1640;378
ORGT.tg;15/07/2025;1640;1640;1605;1605;5
ORGT.tg;16/07/2025;1640;1640;1600;1600;1074
ORGT.tg;17/07/2025;1600;1600;1600;1600;358
ORGT.tg;18/07/2025;1600;1640;1600;1640;1712
ORGT.tg;21/07/2025;1640;1640;1635;1635;861
ORGT.tg;22/07/2025;1635;1635;1635;1635;180
ORGT.tg;23/07/2025;1640;1640;1635;1635;313
ORGT.tg;24/07/2025;1635;1640;1635;1640;676
ORGT.tg;25/07/2025;1640;1640;1630;1630;4544
ORGT.tg;28/07/2025;1640;1725;1640;1725;2220
ORGT.tg;29/07/2025;1705;1705;1695;1695;43
ORGT.tg;30/07/2025;1695;1695;1690;1690;122
ORGT.tg;31/07/2025;1660;1660;1650;1650;40
SIVC.ci;02/06/2025;530;550;530;550;618
SIVC.ci;03/06/2025;545;545;535;535;764
SIVC.ci;04/06/2025;545;545;530;530;875
SIVC.ci;05/06/2025;520;535;520;535;222
SIVC.ci;10/06/2025;525;565;525;565;4992
SIVC.ci;11/06/2025;565;565;555;555;1314
SIVC.ci;12/06/2025;550;550;550;550;197
SIVC.ci;13/06/2025;550;550;510;510;5362
SIVC.ci;16/06/2025;515;545;515;545;1896
SIVC.ci;17/06/2025;545;545;505;505;2876
SIVC.ci;18/06/2025;540;540;540;540;1005
SIVC.ci;19/06/2025;545;550;545;550;1580
SIVC.ci;20/06/2025;545;545;545;545;732
SIVC.ci;23/06/2025;545;545;540;540;3202
SIVC.ci;24/06/2025;540;540;540;540;426
SIVC.ci;25/06/2025;540;540;535;535;1711
SIVC.ci;26/06/2025;545;545;535;535;461
SIVC.ci;27/06/2025;540;540;535;535;438
SIVC.ci;30/06/2025;535;535;535;535;2796
SIVC.ci;01/07/2025;535;535;525;525;265
