symbole;date;ouverture;haut;bas;cloture;volume
ORGT.tg;01/01/2024;2435;2640;2435;2640;1473
ORGT.tg;02/01/2024;2500;2500;2495;2495;55
ORGT.tg;03/01/2024;2445;2600;2445;2600;175
ORGT.tg;04/01/2024;2600;2630;2600;2630;564
ORGT.tg;05/01/2024;2630;2630;2630;2630;10
ORGT.tg;09/01/2024;2585;2585;2585;2585;10
ORGT.tg;10/01/2024;2550;2550;2530;2530;34
ORGT.tg;11/01/2024;2350;2350;2350;2350;224
ORGT.tg;12/01/2024;2285;2525;2285;2525;1190
ORGT.tg;15/01/2024;2550;2550;2550;2550;5
ORGT.tg;16/01/2024;2505;2505;2500;2500;205
ORGT.tg;18/01/2024;2490;2490;2490;2490;15
ORGT.tg;19/01/2024;2350;2490;2350;2490;12831
ORGT.tg;24/01/2024;2305;2305;2305;2305;98
ORGT.tg;25/01/2024;2270;2300;2270;2300;32
ORGT.tg;26/01/2024;2250;2250;2250;2250;101
ORGT.tg;29/01/2024;2280;2280;2245;2245;209
ORGT.tg;30/01/2024;2115;2200;2115;2200;216
ORGT.tg;31/01/2024;2100;2305;2100;2305;1257
ORGT.tg;01/02/2024;2310;2325;2310;2325;240
ORGT.tg;02/02/2024;2160;2325;2160;2325;42
ORGT.tg;05/02/2024;2200;2325;2200;2325;70
ORGT.tg;07/02/2024;2155;2320;2155;2320;202
ORGT.tg;08/02/2024;2150;2320;2150;2320;30
ORGT.tg;13/02/2024;2450;2450;2450;2450;10
ORGT.tg;14/02/2024;2405;2405;2400;2400;45
ORGT.tg;15/02/2024;2390;2390;2390;2390;2
ORGT.tg;19/02/2024;2215;2380;2215;2380;307
ORGT.tg;21/02/2024;2300;2345;2300;2345;30
ORGT.tg;22/02/2024;2300;2320;2300;2320;444
ORGT.tg;23/02/2024;2295;2295;2290;2290;148
ORGT.tg;27/02/2024;2150;2300;2150;2300;673
ORGT.tg;28/02/2024;2300;2300;2300;2300;360
ORGT.tg;29/02/2024;2300;2300;2300;2300;16214
SIVC.CI;01/01/2024;790;830;790;830;192
SIVC.CI;02/01/2024;830;830;830;830;14
SIVC.CI;03/01/2024;820;820;820;820;162
SIVC.CI;04/01/2024;825;825;825;825;68008
SIVC.CI;05/01/2024;765;830;765;830;12
SIVC.CI;08/01/2024;825;830;825;830;17644
SIVC.CI;09/01/2024;830;845;830;845;177
SIVC.CI;10/01/2024;845;845;845;845;141
SIVC.CI;11/01/2024;785;830;785;830;87
SIVC.CI;12/01/2024;825;825;825;825;30
SIVC.CI;15/01/2024;825;825;825;825;230
SIVC.CI;16/01/2024;770;820;770;820;105
SIVC.CI;17/01/2024;760;820;760;820;6568
SIVC.CI;18/01/2024;820;825;820;825;179
SIVC.CI;19/01/2024;825;825;825;825;150
SIVC.CI;22/01/2024;825;825;825;825;105
SIVC.CI;24/01/2024;820;820;820;820;20
SIVC.CI;25/01/2024;760;820;760;820;715
SIVC.CI;26/01/2024;820;820;820;820;20
SIVC.CI;29/01/2024;760;820;760;820;1891
SIVC.CI;30/01/2024;810;820;810;820;513
SIVC.CI;31/01/2024;820;820;820;820;8
SIVC.CI;01/02/2024;810;820;810;820;620
SIVC.CI;02/02/2024;820;820;815;815;74
SIVC.CI;05/02/2024;760;820;760;820;2354
SIVC.CI;06/02/2024;815;820;815;820;361
SIVC.CI;07/02/2024;805;815;805;815;1493
SIVC.CI;09/02/2024;815;815;815;815;20
SIVC.CI;12/02/2024;815;815;815;815;20
SIVC.CI;13/02/2024;810;820;810;820;179
SIVC.CI;14/02/2024;820;820;820;820;10
SIVC.CI;16/02/2024;800;820;800;820;861
SIVC.CI;19/02/2024;815;815;815;815;28
SIVC.CI;20/02/2024;815;815;815;815;27
SIVC.CI;21/02/2024;810;815;810;815;150
SIVC.CI;22/02/2024;815;815;815;815;10
SIVC.CI;23/02/2024;815;815;815;815;192
SIVC.CI;26/02/2024;815;815;815;815;60
SIVC.CI;27/02/2024;815;815;815;815;50
SIVC.CI;28/02/2024;815;815;815;815;50
CFAC.ci;01/01/2024;840;840;840;840;8725
CFAC.ci;02/01/2024;840;870;840;870;22
CFAC.ci;03/01/2024;860;860;850;850;1406
CFAC.ci;04/01/2024;790;790;790;790;892
CFAC.ci;05/01/2024;760;795;760;795;4287
CFAC.ci;08/01/2024;785;785;775;775;1151
CFAC.ci;09/01/2024;785;785;785;785;220
CFAC.ci;10/01/2024;785;785;785;785;772
CFAC.ci;11/01/2024;780;785;780;785;1866
CFAC.ci;12/01/2024;750;750;750;750;2403
CFAC.ci;15/01/2024;730;735;730;735;5366
CFAC.ci;16/01/2024;735;735;735;735;307
CFAC.ci;17/01/2024;735;740;735;740;754
CFAC.ci;18/01/2024;745;785;745;785;2
CFAC.ci;19/01/2024;785;785;785;785;577
CFAC.ci;22/01/2024;780;785;780;785;521
CFAC.ci;24/01/2024;785;785;780;780;135
CFAC.ci;25/01/2024;780;780;770;770;293
CFAC.ci;26/01/2024;750;750;750;750;258
CFAC.ci;29/01/2024;750;770;750;770;1111
CFAC.ci;30/01/2024;770;800;770;800;305
CFAC.ci;31/01/2024;800;800;770;770;411
CFAC.ci;01/02/2024;795;795;780;780;195
CFAC.ci;02/02/2024;780;780;770;770;291
CFAC.ci;05/02/2024;770;770;770;770;3408
CFAC.ci;06/02/2024;715;765;715;765;63
CFAC.ci;07/02/2024;740;740;740;740;282
CFAC.ci;08/02/2024;745;745;740;740;406
CFAC.ci;09/02/2024;740;740;720;720;345
CFAC.ci;12/02/2024;740;740;720;720;345
CFAC.ci;13/02/2024;745;745;745;745;2667
CFAC.ci;14/02/2024;745;745;745;745;1448
CFAC.ci;15/02/2024;740;740;740;740;38
CFAC.ci;16/02/2024;735;740;735;740;1657
CFAC.ci;19/02/2024;685;745;685;745;93
CFAC.ci;20/02/2024;745;765;745;765;4308
CFAC.ci;21/02/2024;765;765;750;750;326
CFAC.ci;22/02/2024;765;770;765;770;1447
CFAC.ci;23/02/2024;765;800;765;800;981
CFAC.ci;26/02/2024;800;800;800;800;80
CFAC.ci;27/02/2024;800;800;800;800;130
CFAC.ci;28/02/2024;790;790;790;790;80
CFAC.ci;29/02/2024;770;790;770;790;1713
CIEC.ci;01/01/2024;1705;1705;1700;1700;9514
CIEC.ci;02/01/2024;1700;1700;1700;1700;12597
CIEC.ci;03/01/2024;1700;1700;1680;1680;43688
CIEC.ci;04/01/2024;1700;1700;1695;1695;2524
CIEC.ci;05/01/2024;1695;1695;1695;1695;1053
CIEC.ci;08/01/2024;1700;1700;1700;1700;3758
