symbole;date;ouverture;haut;bas;cloture;volume
ORGT.tg;01/12/2025;2510;2600;2510;2600;1041
ORGT.tg;02/12/2025;2550;2565;2550;2565;400
ORGT.tg;03/12/2025;2565;2565;2500;2500;1522
SIVC.ci;01/12/2025;665;665;665;665;10877
SIVC.ci;02/12/2025;665;700;665;700;16510
SIVC.ci;03/12/2025;700;705;700;705;3029
CFAC.ci;01/12/2025;1700;1700;1700;1700;8806
CFAC.ci;02/12/2025;1725;1780;1725;1780;5725
CFAC.ci;03/12/2025;1785;1785;1750;1750;1933
CIEC.ci;01/12/2025;2500;2500;2500;2500;1555
CIEC.ci;02/12/2025;2500;2500;2500;2500;2689
CIEC.ci;03/12/2025;2460;2500;2460;2500;1898
TTLC.ci;01/12/2025;2350;2395;2350;2395;1602
TTLC.ci;02/12/2025;2395;2395;2390;2390;567
TTLC.ci;03/12/2025;2395;2395;2370;2370;1549
UNXC.ci;01/12/2025;1390;1450;1390;1450;1476
UNXC.ci;02/12/2025;1450;1450;1450;1450;1507
UNXC.ci;03/12/2025;1450;1450;1420;1420;1727
SHEC.ci;01/12/2025;1510;1550;1510;1550;3662
SHEC.ci;02/12/2025;1510;1520;1510;1520;2295
SHEC.ci;03/12/2025;1520;1540;1520;1540;3387
ONTBF.bf;01/12/2025;2480;2525;2480;2525;595
ONTBF.bf;02/12/2025;2520;2520;2520;2520;300
ONTBF.bf;03/12/2025;2520;2520;2510;2510;4226
ECOC.ci;01/12/2025;15600;16770;15600;16770;319
ECOC.ci;02/12/2025;16700;16700;15720;15720;688
ECOC.ci;03/12/2025;16500;16500;16005;16005;254
NSBC.CI;01/12/2025;11905;11990;11905;11990;406
NSBC.CI;02/12/2025;11955;11955;11900;11900;640
NSBC.CI;03/12/2025;11505;11600;11505;11600;1002
